"Id","Day244","Day245","Day282","Day283","Day284","Day285","Day286"
16408,33.597308280217,30.606623850061,19.2787460145633,23.9723978264478,28.4942460452332,19.3880613775135,13.3828901477966
16409,34.1151318813794,30.585467737066,19.4356887885309,23.9281074502585,30.8392054683733,20.2710622529597,13.4646892889606
16410,34.4150107447179,30.5614865827105,19.2699500579325,24.0270173257956,29.7350839316046,21.1198393425143,12.2596408289285
16411,35.206836111536,30.5222730641216,19.4478702826382,24.0303558143965,28.7210649984707,21.1913301543764,12.3674673641714
16412,35.991126204903,31.2721314560919,19.6372998589506,24.0637579490961,29.3441382206028,13.6480551988983,-0.82058096393074
16413,39.6451202577687,31.6613369568989,21.0099287806516,24.4798309375597,35.9764458241943,24.4751570846948,18.073342266622
16414,40.1870480972974,31.6625292473611,21.1088169785087,24.4810232280219,36.4346437680072,24.008596187103,18.2981133437386
16415,40.003396459201,31.6653259209736,21.1149262978601,24.4838199016344,35.9208552464886,14.3510328252404,17.9782650791421
16416,35.8915181167917,31.6548932343823,20.7105775391943,24.0654309647542,36.91870507627,14.720846013826,1.88598462104858
16417,35.6183847344886,31.586757633793,19.7141506806097,23.4962533945446,37.8346254144785,23.6575224764915,14.5187663762642
16418,35.658678600447,31.8357651977271,19.8133233373312,23.5365472605031,37.8749192804369,23.4583353100977,15.1683086150897
16419,35.5248910221874,31.0295545235318,19.6748985348015,23.2945471917979,39.4193571169737,24.1898838926503,26.1206265001019
16420,39.3157323057757,30.611874004273,19.6163248254112,23.1475509055439,40.794029233619,25.7984542048328,29.8357145053483
16421,39.2183884361974,30.690828441023,19.4376640424208,23.1310890296811,40.7775673577562,25.8649273017514,29.8846626191337
16422,39.5774490084319,31.2040938962583,19.6295828673886,23.481249374089,41.1277277021641,26.0059446419317,30.1737292415833
16423,39.5229084007208,30.6468934010833,19.3452116397832,23.0743901182895,40.4343447411499,22.9989179499214,24.3788272105063
16424,39.2134606840461,30.501984103954,18.8340340584719,23.0809677536925,40.4409223765528,21.8063995761448,25.5634544191548
16425,39.2217619692724,30.5898161976424,18.7382811167543,23.0745408589258,40.4344954817861,22.002480768338,25.621442523657
16426,39.567553786281,30.5953204444117,18.8685106966775,22.9181322509911,41.991996407965,22.6156962021384,42.0810924378514
16427,39.872960904314,29.9595796015822,18.2492378776162,22.2697333652456,41.4988392609123,23.2634945196344,41.1495284672885
16428,39.3345964576315,28.5195506552666,16.9496641226834,21.8328141182292,40.5249710238153,21.6933281323664,40.1956187682834
16429,37.4031527798576,27.2916133648111,15.3225899430355,19.3630075196074,45.534901807094,15.4619640915328,31.1157424155331
16430,36.8340904810269,26.8854207703584,15.1815082453245,18.9276007945467,44.9943684044088,15.0825280207768,28.9269263378744
16431,34.8771782321839,24.8582371884254,13.1028387324706,16.1810505038832,41.49436761876,12.390840314701,26.7661573540651
16432,34.7647296018587,25.3675803598942,13.8805902848601,17.8250712305256,30.7538875392625,8.75620235918032,11.731886113895
16433,34.2212184280935,24.8101243303915,13.1636925092547,17.0940918208813,26.4403190168678,7.40742515343621,10.312243199471
16434,32.5722243683989,23.1623188670207,11.446039449305,15.0832439473684,23.9638195426075,5.45832445485159,8.32172411202296
16435,33.321741398961,24.8041839021036,12.3261869122653,16.1257439705919,24.7402419027383,6.31341948952017,17.3537235280343
16436,31.1611367045682,22.7000657845157,10.1353155465647,13.5318334166043,21.6134298359668,4.02407973284539,14.7442590444217
16437,29.5654644797282,21.0472801941305,7.98136918336501,-2.91316302878009,19.6605093344256,2.72444160963781,14.0161596401257
16438,29.896849877003,21.5684573143602,7.64222401846978,-2.75082764714293,20.853989129641,3.52836847742243,25.7327584123629
16439,30.2911439981747,21.9953652398059,8.01727829237977,-2.39105730626337,18.8487454720024,3.81701144411147,25.2854714231298
16440,32.488565073982,24.2625440049958,10.3041698317155,0.239892790632223,21.25295705324,6.02824107775372,26.6778195522488
16441,31.0772661155652,22.6710955813202,9.22672316073825,-1.08378331059467,17.917278797229,1.51707892113608,13.5084274956152
16598,40.2335156440055,29.5176688242664,32.1333725543471,40.2790111397087,14.6254759020509,32.7184853326691,-15.1629070250428
16599,40.2335156440055,29.504957206521,32.1333725543471,40.2790111397087,14.6254759020509,32.7184853326691,-15.1961629867304
16600,40.2316067943719,29.4745831304345,32.1363009431915,40.3540331056339,14.5898274514841,32.6796816182235,-15.6407621792251
16601,40.2316067943719,29.4424695698144,32.1363009431915,40.3540331056339,14.5898274514841,32.6796816182235,-15.8136931800007
16602,40.2316067943719,29.4186520123545,32.1363009431915,40.3540331056339,14.5898274514841,32.6796816182235,-15.8136931800007
16603,40.2328339119935,29.4277546135188,32.1345439098848,40.332754148026,14.6423620102141,32.6990834754463,-16.8196215291847
16604,40.2328339119935,29.436050616679,32.1345439098848,40.332754148026,14.6423620102141,32.6990834754463,-16.56355062419
16605,40.2328339119935,29.434444938648,32.1345439098848,40.332754148026,14.6423620102141,32.6990834754463,-16.5768530088651
16606,40.2258802454711,29.4340209652087,32.1454765615707,40.3551243342291,14.3562362885596,32.6952031040017,-15.9405399618492
16607,40.2258802454711,29.4476246263047,32.1454765615707,40.3551243342291,14.3562362885596,32.6952031040017,-16.0292225263495
16608,39.281246282299,30.0989784582491,33.0339953766786,35.9006689569564,19.9051617124048,35.5293085417248,-4.36973214216308
16609,38.3434296392468,30.7367316407853,33.9092388290251,31.4232977791829,24.7655091700389,37.887421748915,5.71029978371744
16610,38.3434296392468,30.7273651856045,33.9092388290251,31.4232977791829,32.4442716795454,37.887421748915,5.72692776456125
16611,38.3434296392468,30.6197847575272,33.9092388290251,31.4232977791829,32.4442716795455,37.887421748915,4.81571441432054
16612,32.8825026953027,30.2874764937538,32.7675082324432,31.1204818439939,26.9345777610401,38.708767038014,7.69200719807745
16613,32.7984123819583,30.0706628483912,32.6115162061704,30.973169442658,26.0876265773775,37.3128082629034,6.38310392971625
16614,33.1275394380181,29.8913869252319,32.3717314550921,30.752268473628,27.0552509852756,33.1009895094012,5.36749221500109
16615,32.9808810741067,28.989916158243,31.5510942951379,30.1483827539995,31.2674577682701,31.4503104447698,20.9121579357036
16616,30.7851298803448,26.7130934485163,29.2517862136146,27.466932615452,27.5313855969769,28.0456148743292,18.1012327414363
16617,30.4668201613919,26.4305049908862,28.8894954059271,27.1123881399172,23.5010759900266,24.3353684151935,17.4669709562125
