Id,Day244,Day245,Day282,Day283,Day284,Day285,Day286
10712,40.45580307733019,25.29274513199898,34.48106477541125,32.997299097307504,35.835176723595644,35.7716570045996,35.14878267853869
10713,40.45580307733019,28.480414879366254,31.85067434381236,32.997299097307504,35.9376380264529,35.82823327170908,32.21727007799581
10714,40.45580307733019,28.115918579659876,31.85067434381236,32.997299097307504,35.9376380264529,35.82823327170908,32.21727007799581
10715,40.45580307733019,29.170371801765018,30.596578500844746,32.997299097307504,35.9376380264529,35.82823327170908,35.73301040388991
10716,31.16953522980463,24.0048213589641,26.4474568869934,31.882055480893577,35.67413910755606,37.3840197182411,31.53322139074021
10717,24.154066508986233,20.761836721090308,23.08507636210877,25.597869572272398,27.04544061532908,21.11563220991401,20.699816483289453
10718,25.28129089242353,19.52684924241964,20.057587061560593,24.459859217968567,28.679132587698984,21.41304332954697,18.30392915998936
10719,22.117181255647093,18.8358541672174,22.28026460481066,24.413998604388,27.20123218532264,23.776378273391572,17.101177806932927
10720,21.254354875523518,18.221316570063017,16.588926330635278,30.940995155834628,27.22600677844109,30.019682522006175,20.122107347168104
10721,23.92376138047008,18.100396843430232,15.990084556851214,30.82138908997927,26.659519138781878,28.0348382960153,20.695924139886287
10722,21.256424374313664,20.84583211668691,17.488444928438934,27.02720996612123,30.619364860551944,33.74698922588043,29.381607408018624
10723,21.863192755728708,21.237092887946908,17.852343246717332,27.08574709439195,30.860186722272925,33.84763728576958,29.35739253620223
10724,23.666981993603816,21.563759817472224,18.372571112899717,27.252716650457106,30.555991238856603,31.81614645568524,28.92143339146136
10725,22.285941895517357,21.76664009786248,16.819919365765998,26.117860472904766,31.111291570467557,40.84524357761513,29.323264599033926
10726,21.28774792409199,20.140474175607785,16.42760259036224,26.83669402396985,32.17179924804561,38.238471890721826,29.62949896772437
10727,22.273882377244547,21.696283517770638,16.686497954277485,26.117860472904766,31.111291570467557,37.9228403300893,29.556196064374923
10728,20.65650718027263,21.862703350806065,14.767632742142991,26.523270801816906,30.144916456267136,36.8075873295315,29.48192289073314
10729,20.65650718027263,21.865309958098642,14.767632742142991,26.523270801816906,30.144916456267136,34.860189066949786,28.98339578072621
10730,19.041711724712275,21.60262672129517,15.973650068672589,25.702317216269805,31.83368052435615,36.22694630991104,23.897768604428805
10731,19.11952409510657,18.11427125569314,17.046969434088865,16.595262811739953,30.374017260910467,35.57416625630368,26.031928311930127
10732,19.535776209682304,20.83865800097719,17.420539884824905,16.51461230635057,29.935196543200906,35.60094131106413,26.976320139952268
10733,19.535776209682304,23.007173850776677,16.1838349140557,16.51461230635057,29.935196543200906,35.6242917441775,26.798364880914804
