"stations","MAE","MSE","RMSE","NSE","Bias","R2"
1131,2.06901331153581,9.55256331022972,3.09072213410227,0.488469093788297,0.434684214523373,0.552200595607328
4853,3.15021423975213,18.764833352599,4.33183948832352,0.122634484117607,-1.87463939398512,0.36047304140665
5361,2.34471155848331,13.635361616086,3.69260905270054,0.627859891308636,-1.11659007115274,0.663258825106995
6968,1.81509749041515,8.3068584611447,2.88216211569452,0.511769367097261,-0.303781407431344,0.576269327740643
14069,2.08494913789459,13.3503473559774,3.65381271495645,0.654576560754636,1.31887507857002,0.74655125012173
14301,2.06722315097917,10.5261907889518,3.24440915868387,0.717728879170298,-0.524382596828787,0.769158329890619
17814,2.27763314141203,18.0962152089263,4.25396464594222,0.673621079653205,-1.17384355412067,0.767024625636243
18169,3.2163184051571,21.4448170147409,4.63085489027036,0.66775080396961,-0.288424857504671,0.675131838105808
22168,2.41853767633987,13.5598500466557,3.68237016697883,0.677670756036157,0.510856911820629,0.686225438597823
23072,2.70788376659056,10.6441147256824,3.26253195013971,0.495925218766062,-2.49295556890372,0.803639250149947
23278,1.635919123104,5.63758626961556,2.3743601811047,0.790264003657704,-0.00292946689256398,0.795010645224597
24661,1.73927515665378,7.33252827361518,2.70786415346398,0.857280306877495,-0.95714958632947,0.891619947015031
25349,2.58039644361399,24.32788286752,4.93233036885406,0.443157589464937,-0.792508109479685,0.507979471223079
26069,2.27585580542746,9.06401143886768,3.01064967056409,0.850785353218871,1.75288030158768,0.927026787447763
26157,1.82388308438302,7.11545871512689,2.66748171786179,0.762748755065,0.582689094709755,0.776427316169912
26539,2.70550635479921,11.5954942651352,3.40521574428629,0.749749006724917,2.52583011609975,0.906126373927752
27953,4.57474791016698,26.2886392965525,5.12724480560003,0.400859281483052,-4.20793678471011,0.806667930268692
29629,3.18323174491936,14.8586576236916,3.85469293507169,0.65179615724195,3.08782078097748,0.884628997445028
30168,2.18348056765346,11.1098272608243,3.33314075022707,0.694778605130957,0.61005264272434,0.745656242480824
30308,1.7968972483237,11.1145443507052,3.33384827949702,0.850895827836284,0.715123755932315,0.862753687321226
30766,1.86905652570221,20.5721718971903,4.53565561933336,0.63239610514077,0.292746920876392,0.668257849267387
34095,2.1350230581227,13.3795461798147,3.6578061976839,0.87587715434325,-1.03324785941395,0.888058672906248
34508,4.23398323510787,53.4919895769578,7.31382181741925,-0.216691227326804,-0.698031920132347,0.477987520440538
39518,4.85683350287649,180.839856579151,13.447671046659,0.587468037860249,4.14317739268285,0.74315569348372
41832,2.80935408703472,29.9578144946381,5.47337322815082,0.509555125503312,-1.97583093460714,0.774206593758057
44333,3.68293307333188,24.3179281699093,4.9313211383877,0.29488540988617,1.21674549895924,0.441493794668398
45463,2.43643133454118,15.3450854133335,3.91728035929693,0.687299099804157,0.858393096878853,0.702415547958258
46432,3.32688360043215,18.0389250244859,4.24722556788381,0.4499364760148,-2.82430876231448,0.701979671298111
46903,1.84624156408373,12.5625440968719,3.54436794039105,0.667643258306478,-0.639046405543685,0.720016153241003
47623,3.10137630716397,18.5890256906281,4.31149923931666,0.339907699837965,2.39178955108442,0.579907452995791
48771,2.23844811320086,8.28627206576868,2.87858855444273,0.916417568117782,-0.1781302001845,0.918284971566008
49293,1.87133902509119,12.0506921038132,3.47141067922152,0.46714885494219,0.0756464947808002,0.615117691878791
50936,3.03898391455122,18.8160411247083,4.33774608808634,0.154472280051935,-2.4339992915213,0.558191656121079
55906,9.53798300078979,100.427193085972,10.0213368911524,-3.5615643388724,9.51871636264725,0.590442348901599
NA,2.8020481154529,23.2436088429979,4.8211626028374,0.605533916642466,0.226811492262941,0.61679742326341
