"stations","MAE","MSE","RMSE","NSE","Bias","R2"
1131,2.36526875193744,8.92184860629033,2.98694636816437,0.686710858666528,-1.97025679586966,0.822996059692883
4853,2.67922956061093,14.9085455160213,3.86115857172705,0.672105655651006,-1.24656377262237,0.728548863943626
5361,3.14617853844819,13.6327078026563,3.6922496939747,0.0705650394038628,-2.61611506145895,0.577988295258749
6968,2.67736500570405,17.769946108985,4.2154413895801,0.324814192053575,-2.22380618512315,0.764573846715667
14069,2.81713773755571,15.0756762567021,3.88274081760579,0.680500705145875,2.10459080884453,0.798802466863487
14301,1.91638563929604,8.50112746525188,2.91566929970665,0.834261160505998,-0.947825643688896,0.857767025090231
17814,1.95961579810578,6.88098011738213,2.62316223619168,0.863291309244445,-1.11846187524752,0.887749085565831
18169,3.41833857931621,27.0606942812502,5.20198945416561,0.740257696224978,1.52176053121743,0.816670267505622
22168,3.30492729321089,24.1248985597051,4.91171034973614,0.740767950309925,2.48469977541354,0.813040352439497
23072,2.79632810070723,13.8734111413752,3.72470282591447,0.725802914862145,-1.86549103075085,0.817563890790381
23278,1.79114297629018,8.07683267700462,2.84197689593083,0.819270780411758,-0.799088158599795,0.868254744702205
24661,1.36606208745107,3.87724907738519,1.96907315186236,0.938829070662625,-0.0836500283101612,0.939773631207065
25349,2.08050410278725,7.56771017526659,2.75094714148902,0.88354555486689,-0.846359849834811,0.895447259298676
26069,2.21133695548264,8.41389089915971,2.90067076710883,0.880430977812361,1.70494514098942,0.922216013571925
26157,2.33679292572304,16.6057654484166,4.07501723289811,0.795868589397953,1.57109323993145,0.836956191710334
26539,3.13865525357959,14.4020180396568,3.79499908295863,0.807459457565199,2.77162470375761,0.911615785622718
27953,3.95746982271768,18.2902570532301,4.27671100885132,0.712235834093978,-3.81774068390905,0.941097231520827
29629,3.06095796115286,27.1645467871365,5.21196189425216,0.700742429460328,2.56047830289127,0.784577734062673
30168,1.807056313893,6.23371744038954,2.49674136433663,0.907413921990866,0.502950092940137,0.917498511100359
30308,1.57694963295424,5.48845235752416,2.34274462063712,0.911711145034216,0.424622272012016,0.913872985086164
30766,2.07773027205085,11.4422289361533,3.38263638840377,0.827678137745347,1.03039309318892,0.84246376910905
34095,1.99144955080971,9.19837971967046,3.03288307055687,0.864056328585913,-0.845226966748911,0.876550503813692
34508,2.80550772455942,15.1812967667845,3.89631836055327,0.743860136391357,-2.01190539595497,0.852568846820661
39518,3.34666800609853,25.328936092195,5.03278611627744,0.638636318089964,2.60373989051376,0.738275982790686
41832,2.64963082662714,14.171096597752,3.76445169948454,0.749309852725028,-0.714173993335587,0.762593196041911
44333,4.10262795832076,29.4008647586424,5.42225642686165,0.466953033907457,-2.33679132262212,0.606456047933123
45463,3.00736152212991,26.3343553684926,5.13170102095714,0.542888785889826,-0.33009583978314,0.566385858615267
46432,2.82477538972957,10.6433092387217,3.26240850273562,0.765708041001452,-2.26146436006849,0.879096851447917
46903,1.26936745929358,2.52790485634734,1.58993863288724,0.946013215347267,-0.555066229069744,0.958064249329112
47623,2.7569159193803,20.6369148257966,4.54278712089799,0.659176573096093,2.13745820220878,0.744178483203588
48771,4.2192789808142,34.1120098371956,5.84054876164865,0.521789466128761,-3.50552923494274,0.701972705806528
49293,1.77262819630122,7.32071102415045,2.70568124954704,0.743533425838314,-0.164694202435942,0.783616466210637
50936,3.11582285887802,13.7805996092585,3.71222300101415,0.507487318426178,-2.19841181647032,0.730644019356867
55906,6.76378612933263,53.2127063474353,7.29470399313333,-1.45496736111343,6.16542377548342,0.607991162707924
NA,2.68725269958385,15.3399579380435,3.91662583584946,0.747821330125338,0.076533326233861,0.751831657311559
